Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option	11.1476
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option	10.1227
Franklin India Banking & PSU Debt Fund - Direct - Growth	23.7012
Franklin India Banking & PSU Debt Fund - Growth	22.6734
Franklin India Banking and PSU Debt Fund - Direct - IDCW 	11.5650
Franklin India Banking and PSU Debt Fund - IDCW 	10.9373
HDFC Banking and PSU Debt Fund - Growth Option	23.2149
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan	24.1891
HDFC Banking and PSU Debt Fund - IDCW Option	10.2018
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan	10.0139
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1866
HSBC Banking and PSU Debt Fund - Direct Growth	25.8252
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.3154
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3415
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.1087
HSBC Banking and PSU Debt Fund - Regular Growth	24.5053
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.5756
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3115
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	34.4861
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	13.0202
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	33.0631
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	11.0176
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1050.504
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2449.5489
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1063.9525
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1011.3389
Invesco India Banking and PSU Fund - Growth Option	2286.3976
Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)	1061.9538
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.5234
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.5248
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	13.1653
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	13.1665
Kotak Banking and PSU Debt - Growth	65.9955
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.399
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	68.8054
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.2708
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.3022
LIC MF Banking & PSU Fund-Direct Plan-Growth	37.9388
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.2882
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.0576
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.2761
LIC MF Banking & PSU Fund-Regular Plan-Growth	35.146
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13.1538
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.3841
Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.3686
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.3636
Mirae Asset Banking and PSU Fund - Regular Plan - Growth	13.0658
Mirae Asset Banking and PSU Fund - Regular plan - IDCW	13.0669
NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option	21.7425
NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option	10.3603
Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option	21.7425
NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option	10.7408
NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option	10.8872
NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option	10.3597
NIPPON INDIA BANKING and PSU FUND - IDCW Option	20.9367
NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option	10.6685
